"x","y","track_id","time"
155.7753,138.22805,"4b",1970-01-01 01:05:23
162.44807,142.00172,"4b",1970-01-01 01:05:24
165.89782,142.13129,"4b",1970-01-01 01:05:25
169.50955,141.64541,"4b",1970-01-01 01:05:26
76.99057,179.05088,"4c",1970-01-01 01:05:27
79.555891,179.87545,"4c",1970-01-01 01:05:28
80.982016,180.40252,"4c",1970-01-01 01:05:29
83.152285,181.48766,"4c",1970-01-01 01:05:30
86.407689,183.90087,"4c",1970-01-01 01:05:31
86.116161,182.03832,"4c",1970-01-01 01:05:32
88.448389,180.77503,"4c",1970-01-01 01:05:33
88.691329,178.97727,"4c",1970-01-01 01:05:34
88.237841,176.46689,"4c",1970-01-01 01:05:35
88.610348,173.92411,"4c",1970-01-01 01:05:36
87.282275,171.25176,"4c",1970-01-01 01:05:37
87.217495,168.69279,"4c",1970-01-01 01:05:38
88.286433,166.66828,"4c",1970-01-01 01:05:39
89.873645,164.83813,"4c",1970-01-01 01:05:40
92.740342,162.68406,"4c",1970-01-01 01:05:41
91.606621,161.77708,"4c",1970-01-01 01:05:42
88.934273,161.08065,"4c",1970-01-01 01:05:43
86.893574,159.36387,"4c",1970-01-01 01:05:44
84.350796,160.54618,"4c",1970-01-01 01:05:45
83.816327,162.06861,"4c",1970-01-01 01:05:46
82.018565,163.3157,"4c",1970-01-01 01:05:47
79.670142,163.3643,"4c",1970-01-01 01:05:48
77.564657,164.44944,"4c",1970-01-01 01:05:49
75.766898,165.30783,"4c",1970-01-01 01:05:50
73.580431,166.27959,"4c",1970-01-01 01:05:51
69.191306,166.36059,"4c",1970-01-01 01:05:52
68.057582,166.86267,"4c",1970-01-01 01:05:53
67.717466,169.01674,"4c",1970-01-01 01:05:54
66.486569,171.83485,"4c",1970-01-01 01:05:55
64.96414,174.11849,"4c",1970-01-01 01:05:56
65.660569,178.83154,"4c",1970-01-01 01:05:57
65.482414,179.94906,"4c",1970-01-01 01:05:58
65.190886,181.4553,"4c",1970-01-01 01:05:59
66.097864,183.30164,"4c",1970-01-01 01:06:00
63.441712,184.82407,"4c",1970-01-01 01:06:01
63.798026,187.59359,"4c",1970-01-01 01:06:02
66.745704,187.75555,"4c",1970-01-01 01:06:03
70.260244,188.11187,"4c",1970-01-01 01:06:04
72.770629,188.45198,"4c",1970-01-01 01:06:05
73.807177,189.22939,"4c",1970-01-01 01:06:06
73.661412,190.65465,"4c",1970-01-01 01:06:07
74.989486,191.61021,"4c",1970-01-01 01:06:08
73.143139,193.6995,"4c",1970-01-01 01:06:09
75.556348,194.94659,"4c",1970-01-01 01:06:10
76.528109,197.11686,"4c",1970-01-01 01:06:11
74.908507,198.57451,"4c",1970-01-01 01:06:12
71.248203,199.36811,"4c",1970-01-01 01:06:13
70.082087,200.32368,"4c",1970-01-01 01:06:14
67.00484,202.96363,"4c",1970-01-01 01:06:15
65.417628,204.35649,"4c",1970-01-01 01:06:16
63.069205,205.50641,"4c",1970-01-01 01:06:17
60.96372,205.89512,"4c",1970-01-01 01:06:18
58.890627,205.26347,"4c",1970-01-01 01:06:19
56.752749,205.08531,"4c",1970-01-01 01:06:20
55.149342,206.98025,"4c",1970-01-01 01:06:21
51.650998,207.09362,"4c",1970-01-01 01:06:22
49.675082,207.93582,"4c",1970-01-01 01:06:23
45.204976,208.64844,"4c",1970-01-01 01:06:24
41.317927,207.67668,"4c",1970-01-01 01:06:25
40.135616,209.15052,"4c",1970-01-01 01:06:26
42.435454,209.08572,"4c",1970-01-01 01:06:27
45.609877,209.40965,"4c",1970-01-01 01:06:28
48.298419,209.10192,"4c",1970-01-01 01:06:29
49.707474,207.62808,"4c",1970-01-01 01:06:30
47.682969,205.13389,"4c",1970-01-01 01:06:31
48.508967,203.91919,"4c",1970-01-01 01:06:32
49.626494,202.97982,"4c",1970-01-01 01:06:33
50.144767,199.48147,"4c",1970-01-01 01:06:34
50.58206,197.47316,"4c",1970-01-01 01:06:35
47.164696,196.43662,"4c",1970-01-01 01:06:36
41.933376,196.1127,"4c",1970-01-01 01:06:37
38.030132,197.48936,"4c",1970-01-01 01:06:38
38.418837,198.73646,"4c",1970-01-01 01:06:39
38.467427,200.30747,"4c",1970-01-01 01:06:40
42.354475,199.90257,"4c",1970-01-01 01:06:41
47.601991,199.07657,"4c",1970-01-01 01:06:42
53.98323,196.97109,"4c",1970-01-01 01:06:43
61.368621,197.03589,"4c",1970-01-01 01:06:44
66.988647,196.06413,"4c",1970-01-01 01:06:45
67.458332,193.66712,"4c",1970-01-01 01:06:46
70.616558,189.90964,"4c",1970-01-01 01:06:47
72.997376,186.15216,"4c",1970-01-01 01:06:48
74.276864,182.05456,"4c",1970-01-01 01:06:49
76.99057,179.05088,"4c",1970-01-01 01:06:50
180.06151,161.48301,"4d",1970-01-01 01:06:51
177.24424,156.19203,"4d",1970-01-01 01:06:52
172.86945,156.26073,"4d",1970-01-01 01:06:53
168.86114,157.23418,"4d",1970-01-01 01:06:54
167.54412,157.79534,"4d",1970-01-01 01:06:55
165.52851,158.25343,"4d",1970-01-01 01:06:56
164.11987,156.99368,"4d",1970-01-01 01:06:57
162.23024,156.04314,"4d",1970-01-01 01:06:58
163.71904,155.60795,"4d",1970-01-01 01:06:59
166.57067,156.1462,"4d",1970-01-01 01:07:00
167.70445,155.68811,"4d",1970-01-01 01:07:01
169.53682,155.67671,"4d",1970-01-01 01:07:02
168.87259,157.19986,"4d",1970-01-01 01:07:03
167.48686,161.17382,"4d",1970-01-01 01:07:04
168.03657,164.2545,"4d",1970-01-01 01:07:05
167.76171,167.00305,"4d",1970-01-01 01:07:06
162.37912,161.47158,"4d",1970-01-01 01:07:07
159.87106,160.08585,"4d",1970-01-01 01:07:08
156.45827,160.20037,"4d",1970-01-01 01:07:09
152.85078,160.0744,"4d",1970-01-01 01:07:10
150.14804,160.45232,"4d",1970-01-01 01:07:11
146.97574,161.24254,"4d",1970-01-01 01:07:12
144.60511,163.20088,"4d",1970-01-01 01:07:13
140.23032,166.04106,"4d",1970-01-01 01:07:14
138.27197,167.93069,"4d",1970-01-01 01:07:15
136.65719,169.86614,"4d",1970-01-01 01:07:16
136.77172,173.30184,"4d",1970-01-01 01:07:17
130.10646,180.28775,"4d",1970-01-01 01:07:18
128.74364,182.83017,"4d",1970-01-01 01:07:19
128.64056,187.50272,"4d",1970-01-01 01:07:20
125.01018,192.5761,"4d",1970-01-01 01:07:21
121.37979,194.60317,"4d",1970-01-01 01:07:22
120.01696,196.63023,"4d",1970-01-01 01:07:23
117.84102,198.30227,"4d",1970-01-01 01:07:24
115.42458,200.18045,"4d",1970-01-01 01:07:25
113.66092,202.74577,"4d",1970-01-01 01:07:26
114.18773,205.95242,"4d",1970-01-01 01:07:27
116.043,208.68953,"4d",1970-01-01 01:07:28
119.14658,209.68588,"4d",1970-01-01 01:07:29
123.3954,210.89983,"4d",1970-01-01 01:07:30
127.86181,210.80823,"4d",1970-01-01 01:07:31
131.80141,208.98731,"4d",1970-01-01 01:07:32
137.4474,204.88737,"4d",1970-01-01 01:07:33
139.19961,203.87957,"4d",1970-01-01 01:07:34
142.94452,200.67292,"4d",1970-01-01 01:07:35
146.57491,197.50062,"4d",1970-01-01 01:07:36
149.03716,194.6948,"4d",1970-01-01 01:07:37
151.13294,191.59122,"4d",1970-01-01 01:07:38
156.95072,187.60581,"4d",1970-01-01 01:07:39
162.75705,183.42571,"4d",1970-01-01 01:07:40
163.40983,181.45591,"4d",1970-01-01 01:07:41
166.42179,177.52776,"4d",1970-01-01 01:07:42
168.9184,174.82502,"4d",1970-01-01 01:07:43
170.85384,171.11446,"4d",1970-01-01 01:07:44
172.51443,166.12125,"4d",1970-01-01 01:07:45
174.44987,163.18945,"4d",1970-01-01 01:07:46
176.93503,159.57052,"4d",1970-01-01 01:07:47
180.06151,161.48301,"4d",1970-01-01 01:07:48
